title,author,publisher,pub_date,price,link,img_src
천재소독비 27/완결,지에모,파란미디어,2020.04.21,"13,500원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16330713,https://bookthumb-phinf.pstatic.net/cover/163/307/16330713.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
나노머신 재벌 3세 7,풍류태,영상출판미디어(영상노트),2020.04.21,"7,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339257,https://bookthumb-phinf.pstatic.net/cover/163/392/16339257.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
최고 난이도로 강해져. 5,칼텍스,북두,2020.04.21,"7,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343968,https://bookthumb-phinf.pstatic.net/cover/163/439/16343968.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
천재소독비 외전,지에모,파란미디어,2020.04.21,"13,500원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16330715,https://bookthumb-phinf.pstatic.net/cover/163/307/16330715.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
9999회차 SSS급 정찰병 4,트래스크,영상출판미디어(영상노트),2020.04.21,"7,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339260,https://bookthumb-phinf.pstatic.net/cover/163/392/16339260.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
재벌가 망나니 입니다만?. 6,초촌,북두,2020.04.21,"7,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16343969,https://bookthumb-phinf.pstatic.net/cover/163/439/16343969.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
피와뼈 1,김성모,우주미디어,2020.04.21,"5,700원(-5%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339965,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sat May 02 17:04:41 KST 2020
연기의 신이 되었다 8/완결,르뽀렘,파피루스(디앤씨미디어),2020.04.21,"7,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339901,https://bookthumb-phinf.pstatic.net/cover/163/399/16339901.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
피와뼈 2,김성모,우주미디어,2020.04.21,"5,700원(-5%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339966,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sat May 02 17:04:41 KST 2020
탱고를 추는 神父,정인,바른북스,2020.04.21,"12,420원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339945,https://bookthumb-phinf.pstatic.net/cover/163/399/16339945.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
술만 마시고 레벨 업 9,펩티드,파피루스(디앤씨미디어),2020.04.21,"7,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339902,https://bookthumb-phinf.pstatic.net/cover/163/399/16339902.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
"더 킹, 왕이 되는자 5",배가,파피루스(디앤씨미디어),2020.04.21,"7,200원(-10%)",http://book.naver.com/bookdb/book_detail.nhn?bid=16339904,https://bookthumb-phinf.pstatic.net/cover/163/399/16339904.jpg?type=m1&udate=Sat May 02 17:04:41 KST 2020
